,Country,Obesity,Confirmed,Cluster
128,Serbia,23.5,0.134802015838733,1.0
129,Sierra Leone,7.5,0.0019838730321259396,0.0
130,Slovakia,22.4,0.0257975797579758,1.0
131,Slovenia,22.5,0.0689176245210728,1.0
132,South Africa,27.0,0.0108093353350621,1.0
133,Spain,27.1,0.460098145433688,2.0
134,Sri Lanka,5.4,0.00321947209790848,0.0
135,Sudan,7.4,0.0013827575736341802,0.0
136,Suriname,26.5,0.00166112956810631,1.0
137,Sweden,22.1,0.214680147773673,2.0
138,Switzerland,21.2,0.347841810545964,2.0
139,Tajikistan,12.6,0.000824205617611973,0.0
140,Thailand,10.8,0.00446861722963811,0.0
141,Timor-Leste,2.9,0.00185614849187935,0.0
142,Togo,7.1,0.00152190051967335,0.0
143,Trinidad and Tobago,19.7,0.00851688693098385,1.0
144,Tunisia,27.3,0.00864980711530219,1.0
145,Turkey,32.2,0.15056230101565196,1.0
146,Uganda,4.1,0.000198780212333409,0.0
147,Ukraine,26.1,0.0271451340485763,1.0
148,United Arab Emirates,29.9,0.141863133736699,1.0
149,United Kingdom,29.5,0.274564960423743,2.0
150,United Republic of Tanzania,7.1,0.00082751486940781,0.0
151,United States of America,37.3,0.344076766731581,2.0
152,Uruguay,28.9,0.0185279909065075,1.0
153,Uzbekistan,15.3,0.0063278659137761106,0.0
154,Venezuela (Bolivarian Republic of),25.2,0.00120984710338056,1.0
155,Vietnam,2.1,0.000282261436815255,0.0
156,Yemen,14.1,3.42912008778547e-05,0.0
157,Zambia,6.5,0.000666256088684844,0.0
158,Zimbabwe,12.3,0.000232161147149198,0.0
